zip5,indi_bern,indi_hill,count_bern,count_hill,amt_bern,amt_hill
97478,26.0,0.0,227.0,0.0,8454.0,0.0
97479,8.0,0.0,66.0,0.0,3371.0,0.0
97480,1.0,0.0,3.0,0.0,127.0,0.0
97484,1.0,0.0,7.0,0.0,181.0,0.0
97486,4.0,0.0,59.0,0.0,6001.0,0.0
97487,15.0,0.0,185.0,0.0,8132.0,0.0
97488,1.0,0.0,88.0,0.0,1170.0,0.0
97489,3.0,1.0,50.0,1.0,976.0,25.0
97490,3.0,0.0,125.0,0.0,1432.0,0.0
97492,1.0,0.0,1.0,0.0,1.0,0.0
97493,2.0,0.0,34.0,0.0,4165.0,0.0
97495,3.0,1.0,31.0,9.0,2812.0,1200.0
97496,6.0,1.0,62.0,2.0,2601.0,130.0
97497,2.0,0.0,8.0,0.0,262.0,0.0
97498,15.0,4.0,154.0,7.0,3821.0,500.0
97499,4.0,0.0,80.0,0.0,20683.0,0.0
97501,42.0,6.0,508.0,19.0,28235.0,1282.0
97502,16.0,2.0,204.0,6.0,8829.0,2000.0
97503,1.0,2.0,2.0,5.0,500.0,90.0
97504,68.0,26.0,735.0,100.0,27813.0,12000.0
97520,275.0,52.0,3010.0,161.0,174724.0,23139.0
97523,15.0,3.0,175.0,11.0,12821.0,940.0
97524,7.0,2.0,79.0,3.0,3489.0,205.0
97525,7.0,0.0,102.0,0.0,2933.0,0.0
97526,28.0,8.0,235.0,63.0,14684.0,1963.0
97527,27.0,10.0,312.0,33.0,9725.0,966.0
97528,4.0,0.0,57.0,0.0,1144.0,0.0
97530,27.0,12.0,352.0,43.0,23758.0,4300.0
97532,2.0,1.0,14.0,4.0,757.0,80.0
97533,6.0,1.0,19.0,2.0,1497.0,400.0
97534,1.0,1.0,5.0,4.0,500.0,100.0
97535,8.0,3.0,112.0,16.0,2990.0,439.0
97537,14.0,3.0,323.0,8.0,9846.0,569.0
97538,2.0,0.0,22.0,0.0,1795.0,0.0
97539,1.0,1.0,17.0,14.0,313.0,370.0
97540,57.0,5.0,466.0,21.0,25423.0,1201.0
97541,1.0,0.0,2.0,0.0,70.0,0.0
97543,4.0,0.0,98.0,0.0,3233.0,0.0
97544,14.0,0.0,168.0,0.0,15424.0,0.0
97601,14.0,4.0,92.0,10.0,4426.0,426.0
97602,1.0,0.0,11.0,0.0,555.0,0.0
97603,4.0,2.0,16.0,2.0,295.0,26.0
97624,2.0,1.0,4.0,6.0,300.0,135.0
97626,1.0,0.0,8.0,0.0,334.0,0.0
97627,3.0,0.0,28.0,0.0,582.0,0.0
97630,4.0,0.0,15.0,0.0,291.0,0.0
97633,1.0,0.0,2.0,0.0,54.0,0.0
97634,1.0,0.0,5.0,0.0,71.0,0.0
97635,1.0,0.0,6.0,0.0,300.0,0.0
97638,3.0,0.0,9.0,0.0,927.0,0.0
97641,0.0,1.0,0.0,3.0,0.0,150.0
97701,70.0,10.0,588.0,38.0,20312.0,5526.0
97702,66.0,28.0,820.0,111.0,29182.0,6808.0
97703,76.0,17.0,664.0,47.0,43231.0,13527.0
97707,6.0,6.0,100.0,30.0,3437.0,3483.0
97708,4.0,0.0,26.0,0.0,1412.0,0.0
97709,4.0,1.0,22.0,1.0,1305.0,250.0
97720,2.0,0.0,7.0,0.0,375.0,0.0
97730,2.0,1.0,7.0,17.0,480.0,301.0
97734,1.0,0.0,12.0,0.0,248.0,0.0
97737,1.0,0.0,67.0,0.0,1222.0,0.0
97739,9.0,2.0,95.0,12.0,1729.0,387.0
97741,4.0,0.0,97.0,0.0,2962.0,0.0
97753,1.0,0.0,1.0,0.0,100.0,0.0
97754,9.0,1.0,61.0,2.0,3646.0,20.0
97756,30.0,5.0,419.0,10.0,11477.0,644.0
97759,22.0,8.0,160.0,18.0,8959.0,2470.0
97760,14.0,1.0,104.0,3.0,6540.0,55.0
97761,0.0,1.0,0.0,1.0,0.0,2700.0
97801,12.0,0.0,97.0,0.0,2454.0,0.0
97810,1.0,0.0,6.0,0.0,100.0,0.0
97814,12.0,0.0,202.0,0.0,11135.0,0.0
97823,1.0,0.0,3.0,0.0,29.0,0.0
97824,6.0,1.0,86.0,5.0,2916.0,500.0
97828,11.0,0.0,74.0,0.0,7724.0,0.0
97830,3.0,0.0,17.0,0.0,478.0,0.0
97834,3.0,0.0,7.0,0.0,152.0,0.0
97836,2.0,0.0,31.0,0.0,1244.0,0.0
97838,7.0,3.0,84.0,17.0,3104.0,571.0
97845,0.0,1.0,0.0,9.0,0.0,242.0
97846,7.0,1.0,77.0,2.0,2323.0,50.0
97848,0.0,2.0,0.0,2.0,0.0,5400.0
97850,19.0,1.0,358.0,1.0,18739.0,50.0
97857,4.0,0.0,143.0,0.0,5528.0,0.0
97862,3.0,0.0,120.0,0.0,1785.0,0.0
97868,1.0,0.0,2.0,0.0,37.0,0.0
97873,1.0,0.0,2.0,0.0,60.0,0.0
97876,1.0,0.0,25.0,0.0,1250.0,0.0
97882,1.0,0.0,4.0,0.0,400.0,0.0
97883,3.0,1.0,19.0,2.0,996.0,63.0
97885,2.0,0.0,2.0,0.0,34.0,0.0
97914,6.0,1.0,145.0,5.0,9976.0,250.0
97918,1.0,0.0,17.0,0.0,626.0,0.0
97958,1.0,0.0,1.0,0.0,250.0,0.0
98000,1.0,0.0,3.0,0.0,6300.0,0.0
98001,20.0,12.0,238.0,33.0,9701.0,8548.0
