,zip,CAND,TRANSACTION_AMT
763,01945,B.S.,50491
764,01945,H.C.,29557
765,01949,B.S.,4917
766,01949,H.C.,1291
767,01950,B.S.,42181
768,01950,H.C.,26951
769,01951,B.S.,3725
770,01951,H.C.,5409
771,01952,B.S.,3291
772,01960,B.S.,13324
773,01960,H.C.,3376
774,01965,H.C.,5414
775,01966,B.S.,41571
776,01966,H.C.,2608
777,01969,B.S.,5418
778,01969,H.C.,250
779,01970,B.S.,53440
780,01970,H.C.,7534
781,01982,B.S.,15389
782,01982,H.C.,9250
783,01983,B.S.,10375
784,01983,H.C.,5745
785,01984,B.S.,2543
786,01984,H.C.,2000
787,01985,B.S.,2672
788,01985,H.C.,3655
789,02000,B.S.,334
790,02016,B.S.,375
791,02018,B.S.,1054
792,02019,B.S.,7682
793,02019,H.C.,3003
794,02021,B.S.,13158
795,02021,H.C.,7482
796,02023,B.S.,750
797,02024,B.S.,150
798,02025,B.S.,5709
799,02025,H.C.,31034
800,02026,B.S.,40397
801,02026,H.C.,16063
802,02027,B.S.,50
803,02030,B.S.,15789
804,02030,H.C.,29420
805,02032,B.S.,1255
806,02032,H.C.,200
807,02035,B.S.,7773
808,02035,H.C.,1123
809,02037,B.S.,200
810,02038,B.S.,10994
811,02038,H.C.,4413
812,02041,B.S.,373
813,02043,B.S.,37305
814,02043,H.C.,45369
815,02045,B.S.,17211
816,02045,H.C.,6230
817,02047,B.S.,884
818,02048,B.S.,8142
819,02048,H.C.,1696
820,02050,B.S.,13523
821,02050,H.C.,1844
822,02051,B.S.,3429
823,02051,H.C.,200
824,02052,B.S.,7463
825,02052,H.C.,8247
826,02053,B.S.,8515
827,02053,H.C.,12164
828,02054,B.S.,5971
829,02054,H.C.,2350
830,02056,B.S.,7151
831,02056,H.C.,967
832,02060,B.S.,100
833,02061,B.S.,2940
834,02061,H.C.,1155
835,02062,B.S.,33722
836,02062,H.C.,2309
837,02065,B.S.,50
838,02066,B.S.,14346
839,02066,H.C.,17399
840,02067,B.S.,31571
841,02067,H.C.,22230
842,02070,B.S.,342
843,02071,B.S.,600
844,02071,H.C.,5400
845,02072,B.S.,9125
846,02072,H.C.,5809
847,02081,B.S.,2492
848,02081,H.C.,4100
849,02088,B.S.,1000
850,02090,B.S.,16848
851,02090,H.C.,31489
852,02093,B.S.,3181
853,02100,B.S.,1067
854,02108,B.S.,18993
855,02108,H.C.,127500
856,02109,B.S.,13295
857,02109,H.C.,46872
858,02110,B.S.,900
859,02110,H.C.,58873
860,02111,B.S.,34706
861,02111,H.C.,77335
862,02113,B.S.,22295
863,02113,H.C.,11133
864,02114,B.S.,29214
865,02114,H.C.,67535
866,02115,B.S.,21353
867,02115,H.C.,68945
868,02116,B.S.,38088
869,02116,H.C.,391852
870,02118,B.S.,42669
871,02118,H.C.,180893
872,02119,B.S.,21802
873,02119,H.C.,6338
874,02120,B.S.,13377
875,02120,H.C.,150
876,02121,B.S.,800
877,02121,H.C.,6114
878,02122,B.S.,3054
879,02122,H.C.,3998
880,02124,B.S.,19379
881,02124,H.C.,23717
882,02125,B.S.,32637
883,02125,H.C.,12828
884,02126,B.S.,445
885,02126,H.C.,305
886,02127,B.S.,39170
887,02127,H.C.,16743
888,02128,B.S.,17661
889,02128,H.C.,15693
890,02129,B.S.,29082
891,02129,H.C.,40555
892,02130,B.S.,188445
893,02130,H.C.,102387
894,02131,B.S.,71388
895,02131,H.C.,9937
896,02132,B.S.,31379
897,02132,H.C.,32390
898,02133,H.C.,1000
899,02134,B.S.,44042
900,02134,H.C.,7949
901,02135,B.S.,74119
902,02135,H.C.,20532
903,02136,B.S.,6091
904,02136,H.C.,5300
905,02137,B.S.,135
906,02138,B.S.,267100
907,02138,H.C.,404762
908,02139,B.S.,218927
909,02139,H.C.,53442
910,02140,B.S.,125369
911,02140,H.C.,78599
912,02141,B.S.,34929
913,02141,H.C.,9395
914,02142,B.S.,9907
915,02142,H.C.,33076
916,02143,B.S.,112134
917,02143,H.C.,33138
918,02144,B.S.,140194
919,02144,H.C.,32171
920,02145,B.S.,55010
921,02145,H.C.,8744
922,02146,B.S.,272
923,02148,B.S.,43956
924,02148,H.C.,5955
925,02149,B.S.,8050
